trial_number,state,value,brier_score,duration,params,n_estimators,criterion,max_depth,min_samples_split,min_samples_leaf,max_features,max_samples,dataset,test_brier_score
0,1,-0.18974082507172618,0.18974082507172618,6.806638,"{'n_estimators': 624, 'criterion': 'log_loss', 'max_depth': None, 'min_samples_split': 12, 'min_samples_leaf': 7, 'max_features': 0.1, 'max_samples': None}",624,log_loss,,12,7,0.1,,Bank,0.18459668282227082
1,1,-0.18710794705736827,0.18710794705736827,9.697479,"{'n_estimators': 834, 'criterion': 'gini', 'max_depth': None, 'min_samples_split': 16, 'min_samples_leaf': 2, 'max_features': 0.1, 'max_samples': None}",834,gini,,16,2,0.1,,Bank,0.18459668282227082
2,1,-0.19515893631204087,0.19515893631204087,14.416398,"{'n_estimators': 1451, 'criterion': 'log_loss', 'max_depth': 10, 'min_samples_split': 2, 'min_samples_leaf': 9, 'max_features': 0.1, 'max_samples': None}",1451,log_loss,10.0,2,9,0.1,,Bank,0.18459668282227082
3,1,-0.19403791814137056,0.19403791814137056,11.928661,"{'n_estimators': 1185, 'criterion': 'log_loss', 'max_depth': 10, 'min_samples_split': 7, 'min_samples_leaf': 4, 'max_features': 0.1, 'max_samples': None}",1185,log_loss,10.0,7,4,0.1,,Bank,0.18459668282227082
4,1,-0.1867636000977962,0.1867636000977962,2.921255,"{'n_estimators': 204, 'criterion': 'log_loss', 'max_depth': 15, 'min_samples_split': 15, 'min_samples_leaf': 1, 'max_features': 0.33, 'max_samples': 0.5}",204,log_loss,15.0,15,1,0.33,0.5,Bank,0.18459668282227082
5,1,-0.1898668439585035,0.1898668439585035,5.99595,"{'n_estimators': 555, 'criterion': 'gini', 'max_depth': None, 'min_samples_split': 12, 'min_samples_leaf': 7, 'max_features': 0.1, 'max_samples': None}",555,gini,,12,7,0.1,,Bank,0.18459668282227082
6,1,-0.18672366195592588,0.18672366195592588,7.006271,"{'n_estimators': 540, 'criterion': 'entropy', 'max_depth': 15, 'min_samples_split': 7, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_samples': None}",540,entropy,15.0,7,2,sqrt,,Bank,0.18459668282227082
7,1,-0.1852421881588045,0.1852421881588045,11.450064,"{'n_estimators': 855, 'criterion': 'entropy', 'max_depth': None, 'min_samples_split': 17, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_samples': 0.9}",855,entropy,,17,1,sqrt,0.9,Bank,0.18459668282227082
8,1,-0.1909431734817531,0.1909431734817531,8.690634,"{'n_estimators': 826, 'criterion': 'gini', 'max_depth': 10, 'min_samples_split': 7, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_samples': 0.7}",826,gini,10.0,7,1,sqrt,0.7,Bank,0.18459668282227082
9,1,-0.18957156091552063,0.18957156091552063,10.86442,"{'n_estimators': 785, 'criterion': 'log_loss', 'max_depth': 10, 'min_samples_split': 13, 'min_samples_leaf': 6, 'max_features': 0.33, 'max_samples': None}",785,log_loss,10.0,13,6,0.33,,Bank,0.18459668282227082
10,1,-0.18644601957982918,0.18644601957982918,14.427552,"{'n_estimators': 1188, 'criterion': 'entropy', 'max_depth': 20, 'min_samples_split': 19, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_samples': 0.9}",1188,entropy,20.0,19,4,sqrt,0.9,Bank,0.18459668282227082
11,1,-0.1864477390614805,0.1864477390614805,13.984746,"{'n_estimators': 1138, 'criterion': 'entropy', 'max_depth': 20, 'min_samples_split': 19, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_samples': 0.9}",1138,entropy,20.0,19,4,sqrt,0.9,Bank,0.18459668282227082
12,1,-0.18600600555393057,0.18600600555393057,14.429287,"{'n_estimators': 1164, 'criterion': 'entropy', 'max_depth': 20, 'min_samples_split': 19, 'min_samples_leaf': 3, 'max_features': 'sqrt', 'max_samples': 0.9}",1164,entropy,20.0,19,3,sqrt,0.9,Bank,0.18459668282227082
13,1,-0.1860233166851221,0.1860233166851221,12.976306,"{'n_estimators': 1044, 'criterion': 'entropy', 'max_depth': 20, 'min_samples_split': 17, 'min_samples_leaf': 3, 'max_features': 'sqrt', 'max_samples': 0.9}",1044,entropy,20.0,17,3,sqrt,0.9,Bank,0.18459668282227082
14,1,-0.18544619007955196,0.18544619007955196,18.949176,"{'n_estimators': 1468, 'criterion': 'entropy', 'max_depth': None, 'min_samples_split': 19, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_samples': 0.9}",1468,entropy,,19,2,sqrt,0.9,Bank,0.18459668282227082
15,1,-0.18528215547336802,0.18528215547336802,20.163869,"{'n_estimators': 1497, 'criterion': 'entropy', 'max_depth': None, 'min_samples_split': 15, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_samples': 0.9}",1497,entropy,,15,1,sqrt,0.9,Bank,0.18459668282227082
16,2,-0.1865647354764311,0.1865647354764311,0.510581,"{'n_estimators': 201, 'criterion': 'entropy', 'max_depth': None, 'min_samples_split': 15, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_samples': 0.5}",201,entropy,,15,1,sqrt,0.5,Bank,0.18459668282227082
17,2,-0.18670431553187056,0.18670431553187056,0.965915,"{'n_estimators': 326, 'criterion': 'entropy', 'max_depth': None, 'min_samples_split': 10, 'min_samples_leaf': 9, 'max_features': 0.33, 'max_samples': 0.7}",326,entropy,,10,9,0.33,0.7,Bank,0.18459668282227082
